CY - Canada
CYHM John C. Munro Hamilton Int'l (Hamilton) - Hamilton, Ontario
CYHN Hornepayne Municipal - Hornepayne, Ontario
CYHO Hopedale - Hopedale, Newfoundland and Labrador
CYHR Chevery - Chevery, Quebec
CYHT Haines Junction - Haines Junction, Yukon
CYHU Montreal Saint-Hubert Longueuil - Longueuil, Quebec
CYHY Hay River/Merlyn Carter - Hay River, Northwest Territories
CYHZ Halifax Stanfield Int'l - Halifax, Nova Scotia
CYIB Atikokan Municipal - Atikokan, Ontario
CYID Digby/Annapolis Regional - Digby, Nova Scotia
CYIF Saint-Augustin - Saint-Augustin, Quebec
CYIK Ivujivik - Ivujivik, Quebec
CYIO Pond Inlet - Pond Inlet, Nunavut
CYIV Island Lake - Island Lake, Manitoba
CYJA Jasper - Jasper, Alberta
CYJF Fort Liard - Fort Liard, Northwest Territories
CYJM Fort St. James (Perison) - Fort St. James, British Columbia
CYJN Saint-Jean (Saint-Jean-sur-Richelieu) -S aint-Jean-sur-Richelieu, Quebec
CYJP Fort Providence - Fort Providence, Northwest Territories
CYJQ Denny Island Aerodrome - Bella Bella, British Columbia
CYJT Stephenville Int'l - Stephenville, Newfoundland and Labrador
CYKA Kamloops - Kamloops, British Columbia
CYKC Collins Bay - Collins Bay, Saskatchewan
CYKD Aklavik/Freddie Carmichael - Aklavik, Northwest Territories
CYKF Kitchener/Waterloo Regional - Regional Municipality of Waterloo, Ontario
CYKG Kangiqsujuaq (Wakeham Bay) - Kangiqsujuaq, Quebec
CYKJ Key Lake - Key Lake mine, Saskatchewan
CYKL Schefferville - Schefferville, Quebec
CYKM Kincardine Municipal - Kincardine, Ontario
CYKO Akulivik - Akulivik, Quebec
CYKQ Waskaganish - Waskaganish, Quebec
CYKX Kirkland Lake - Kirkland Lake, Ontario
CYKY Kindersley Regional - Kindersley, Saskatchewan
CYKZ Buttonville Municipal (Toronto/Buttonville Municipal) -B uttonville, Ontario
CYLA Aupaluk - Aupaluk, Quebec
CYLB Lac La Biche - Lac La Biche, Alberta
CYLC Kimmirut - Kimmirut, Nunavut
CYLD Chapleau - Chapleau, Ontario
CYLH Lansdowne House - Neskantaga First Nation, Ontario
CYLI Lillooet - Lillooet, British Columbia
CYLJ Meadow Lake - Meadow Lake, Saskatchewan
CYLK Lutselk'e - Lutselk'e, Northwest Territories
CYLL Lloydminster - Lloydminster, Alberta
CYLQ La Tuque - La Tuque, Quebec
CYLR Leaf Rapids - Leaf Rapids, Manitoba
CYLS Lake Simcoe Regional (Barrie-Orillia (Lake Simcoe Regional)) -B arrie, Ontario
CYLT Alert - Alert, Nunavut
CYLU Kangiqsualujjuaq (Georges River) - Kangiqsualujjuaq, Quebec
CYLW Kelowna Int'l - Kelowna, British Columbia
CYMA Mayo - Mayo, Yukon
CYME Matane - Matane, Quebec
CYMG Manitouwadge - Manitouwadge, Ontario
CYMH Mary's Harbour - Mary's Harbour, Newfoundland and Labrador
CYMJ CFB Moose Jaw (Moose Jaw/Air Vice Marshal C.M. McEwen) - Moose Jaw, Saskatchewan
CYML Charlevoix - Charlevoix, Quebec
CYMM Fort McMurray Int'l - Fort McMurray, Alberta
CYMO Moosonee - Moosonee, Ontario
CYMT Chibougamau/Chapais - Chibougamau, Quebec
CYMU Umiujaq - Umiujaq, Quebec
CYMW Maniwaki - Maniwaki, Quebec
CYMX Montréal–Mirabel Int'l - Montreal, Quebec
CYN6 Gravenhurst/Muskoka Bay Water Aerodrome - Gravenhurst, Ontario
CYNA Natashquan - Natashquan, Quebec
CYNC Wemindji - Wemindji, Quebec
CYND Gatineau-Ottawa Executive (Ottawa/Gatineau) - Gatineau, Quebec
CYNE Norway House - Norway House, Manitoba
CYNH Hudson's Hope - Hudson's Hope, British Columbia
CYNJ Langley Regional - Langley, British Columbia
CYNL Points North Landing - Points North Landing, Saskatchewan
CYNM Matagami - Matagami, Quebec
CYNN Nejanilini Lake - Nejanilini Lake, Manitoba
CYNR Fort MacKay/Horizon - Fort McKay, Alberta
CYOA Ekati - Ekati Diamond Mine, Northwest Territories
CYOC Old Crow - Old Crow, Yukon
CYOD CFB Cold Lake (Cold Lake/Group Captain R.W. McNair) - Cold Lake, Alberta
CYOH Oxford House - Oxford House, Manitoba
CYOJ High Level - High Level, Alberta
CYOO Oshawa Executive (Toronto/Oshawa Executive) - Oshawa, Ontario
CYOP Rainbow Lake - Rainbow Lake, Alberta
CYOS Owen Sound Billy Bishop Regional - Owen Sound, Ontario
CYOW Ottawa Macdonald–Cartier Int'l - Ottawa, Ontario
CYOY CFB Valcartier (Valcartier (W/C J.H.L. (Joe) Lecomte) Heliport) - Saint-Gabriel-de-Valcartier, Quebec
CYPA Prince Albert (Glass Field) - Prince Albert, Saskatchewan
CYPC Paulatuk (Nora Aliqatchialuk Ruben) - Paulatuk, Northwest Territories
CYPD Port Hawkesbury - Port Hawkesbury, Nova Scotia
CYPE Peace River - Peace River, Alberta
CYPG Portage la Prairie/Southport - Portage la Prairie, Manitoba
CYPH Inukjuak - Inukjuak, Quebec
CYPK Pitt Meadows - Pitt Meadows, British Columbia
CYPL Pickle Lake - Pickle Lake, Ontario
CYPM Pikangikum - Pikangikum First Nation, Ontario
CYPN Port-Menier - Port-Menier, Quebec
